date,converted_date,rating,average,review
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
11/25/2014,20141125,5,5.0,"Warm, cozy atmosphere exceeding expectations with delicious vegan cuisine. A welcome addition to the neighborhood. We happily devoured chicken nuggets, spicy chicken with yams, green beans and a dessert of filo dough with praline ice cream and warm rum infused bananas. Can't wait to go back."
